Date,High,Low,Average
20070101,62,39,50.5
20070102,62,44,53
20070103,62,42,52
20070104,57,45,51
20070105,54,44,49
20070106,55,36,45.5
20070107,62,45,53.5
20070108,66,48,57
20070109,63,39,51
20070110,57,37,47
20070111,50,37,43.5
20070112,48,35,41.5
20070113,48,30,39
20070114,48,28,38
20070115,53,28,40.5
20070116,50,30,40
20070117,57,37,47
20070118,61,33,47
20070119,55,35,45
20070120,61,35,48
20070121,64,43,53.5
20070122,61,36,48.5
20070123,57,35,46
20070124,60,35,47.5
20070125,55,39,47
20070126,54,44,49
20070127,57,48,52.5
20070128,59,45,52
20070129,63,45,54
20070130,59,41,50
20070131,55,48,51.5
20070201,53,46,49.5
20070202,55,44,49.5
20070203,59,37,48
20070204,66,39,52.5
20070205,64,43,53.5
20070206,61,46,53.5
20070207,61,51,56
20070208,60,51,55.5
20070209,61,55,58
20070210,62,55,58.5
20070211,61,46,53.5
20070212,59,43,51
20070213,57,46,51.5
20070214,61,39,50
20070215,64,44,54
20070216,71,46,58.5
20070217,73,51,62
20070218,60,46,53
20070219,63,44,53.5
20070220,57,45,51
20070221,59,48,53.5
20070222,55,44,49.5
20070223,55,42,48.5
20070224,57,39,48
20070225,55,48,51.5
20070226,57,44,50.5
20070227,53,39,46
20070228,53,37,45
20070301,54,37,45.5
20070302,61,39,50
20070303,66,43,54.5
20070304,70,48,59
20070305,68,53,60.5
20070306,69,46,57.5
20070307,62,51,56.5
20070308,61,46,53.5
20070309,60,45,52.5
20070310,68,46,57
20070311,79,48,63.5
20070312,80,52,66
20070313,73,53,63
20070314,64,48,56
20070315,78,46,62
20070316,78,50,64
20070317,62,51,56.5
20070318,66,46,56
20070319,64,48,56
20070320,60,48,54
20070321,66,46,56
20070322,73,43,58
20070323,78,48,63
20070324,68,48,58
20070325,64,53,58.5
20070326,66,48,57
20070327,57,46,51.5
20070328,66,42,54
20070329,73,42,57.5
20070330,72,46,59
20070331,69,46,57.5
20070401,64,46,55
20070402,69,46,57.5
20070403,71,46,58.5
20070404,69,50,59.5
20070405,71,52,61.5
20070406,64,52,58
20070407,68,51,59.5
20070408,71,51,61
20070409,66,50,58
20070410,72,46,59
20070411,63,50,56.5
20070412,64,46,55
20070413,70,44,57
20070414,57,51,54
20070415,68,46,57
20070416,75,46,60.5
20070417,62,48,55
20070418,61,45,53
20070419,57,42,49.5
20070420,64,46,55
20070421,61,43,52
20070422,63,48,55.5
20070423,70,44,57
20070424,66,46,56
20070425,66,48,57
20070426,69,48,58.5
20070427,82,50,66
20070428,81,55,68
20070429,70,53,61.5
20070430,77,51,64
20070501,70,48,59
20070502,66,52,59
20070503,63,48,55.5
20070504,64,51,57.5
20070505,73,46,59.5
20070506,88,54,71
20070507,91,57,74
20070508,84,60,72
20070509,73,55,64
20070510,57,52,54.5
20070511,64,51,57.5
20070512,64,50,57
20070513,72,46,59
20070514,66,50,58
20070515,63,51,57
20070516,70,48,59
20070517,68,50,59
20070518,73,50,61.5
20070519,70,52,61
20070520,73,51,62
20070521,78,54,66
20070522,81,51,66
20070523,86,55,70.5
20070524,78,55,66.5
20070525,69,54,61.5
20070526,69,55,62
20070527,69,54,61.5
20070528,73,52,62.5
20070529,69,53,61
20070530,66,55,60.5
20070531,64,54,59
20070601,66,54,60
20070602,64,54,59
20070603,70,55,62.5
20070604,73,59,66
20070605,68,55,61.5
20070606,70,53,61.5
20070607,75,51,63
